MS SubClass,Lot Area,Street,Lot Config,House Style,Bldg Type,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Foundation,TotRms AbvGrd,Fireplaces,Garage Area,Yr Sold,Sale Type,Sale Condition,SalePrice
160,1680,Pave,Inside,2Story,Twnhs,5,5,1971,1971,CBlock,6,0,320.0,2010,WD ,Normal,105500
160,1680,Pave,Inside,2Story,Twnhs,6,5,1971,1971,CBlock,6,0,264.0,2010,WD ,Family,88000
120,4043,Pave,Inside,1Story,TwnhsE,6,5,1977,1977,CBlock,4,1,440.0,2010,WD ,Normal,127500
160,2280,Pave,FR2,2Story,Twnhs,6,6,1975,1975,CBlock,6,1,440.0,2010,WD ,Normal,149900
120,2280,Pave,FR2,1Story,Twnhs,7,6,1975,1975,CBlock,4,0,308.0,2010,WD ,Normal,120000
160,2280,Pave,Inside,2Story,Twnhs,6,5,1978,1978,CBlock,7,1,440.0,2010,WD ,Normal,146000
60,12858,Pave,Inside,2Story,1Fam,9,5,2009,2010,PConc,10,1,751.0,2010,New,Partial,376162
20,11478,Pave,Inside,1Story,1Fam,8,5,2007,2008,PConc,7,1,772.0,2010,WD ,Normal,306000
20,10159,Pave,Inside,1Story,1Fam,9,5,2009,2010,PConc,8,1,606.0,2010,New,Partial,395192
20,12883,Pave,Corner,1Story,1Fam,8,5,2009,2010,PConc,7,0,868.0,2010,New,Partial,290941
20,12182,Pave,Corner,1Story,1Fam,7,5,2005,2005,PConc,7,1,532.0,2010,New,Partial,220000
20,11520,Pave,Inside,1Story,1Fam,9,5,2005,2005,PConc,7,1,730.0,2010,WD ,Normal,275000
20,14122,Pave,Inside,1Story,1Fam,8,5,2005,2006,PConc,8,1,678.0,2010,WD ,Normal,259000
20,10171,Pave,Inside,1Story,1Fam,7,5,2004,2004,PConc,7,0,532.0,2010,WD ,Normal,214000
20,12919,Pave,Inside,1Story,1Fam,9,5,2009,2010,PConc,11,2,820.0,2010,New,Partial,611657
120,6371,Pave,Inside,1Story,TwnhsE,7,5,2009,2010,PConc,6,1,484.0,2010,New,Partial,224000
20,14300,Pave,Inside,1Story,1Fam,9,5,2003,2004,PConc,10,2,958.0,2010,WD ,Normal,500000
60,13650,Pave,Corner,2Story,1Fam,8,5,2002,2002,PConc,7,1,756.0,2010,WD ,Normal,320000
120,7658,Pave,Inside,1Story,TwnhsE,9,5,2005,2005,PConc,6,1,576.0,2010,WD ,Normal,319900
120,7132,Pave,Inside,1Story,TwnhsE,8,5,2006,2006,PConc,6,1,484.0,2010,WD ,Normal,205000
160,2628,Pave,Inside,2Story,Twnhs,7,5,2003,2003,PConc,6,0,474.0,2010,WD ,Normal,175500
20,18494,Pave,Corner,1Story,1Fam,6,5,2005,2005,PConc,6,0,430.0,2010,WD ,Normal,199500
120,3203,Pave,Inside,1Story,TwnhsE,7,5,2006,2006,PConc,6,0,437.0,2010,WD ,Normal,160000
120,3182,Pave,Inside,1Story,TwnhsE,8,5,2004,2005,PConc,6,1,430.0,2010,WD ,Normal,192000
80,13300,Pave,Inside,SLvl,1Fam,7,5,2004,2004,PConc,7,1,400.0,2010,WD ,Normal,184500
60,7851,Pave,Inside,2Story,1Fam,6,5,2002,2002,PConc,8,2,440.0,2010,WD ,Normal,216500
60,8577,Pave,Inside,2Story,1Fam,7,5,2004,2004,PConc,7,1,433.0,2010,WD ,Normal,185088
80,7750,Pave,Inside,SLvl,1Fam,7,5,2000,2000,PConc,7,1,400.0,2010,WD ,Normal,180000
60,9505,Pave,CulDSac,2Story,1Fam,7,5,2001,2001,PConc,8,1,434.0,2010,WD ,Normal,222500
60,14774,Pave,Corner,2Story,1Fam,9,5,1999,1999,PConc,10,1,779.0,2010,WD ,Normal,333168
60,17433,Pave,CulDSac,2Story,1Fam,8,5,1998,1998,PConc,7,1,962.0,2010,WD ,Normal,355000
20,10593,Pave,Inside,1Story,1Fam,7,5,1996,1996,PConc,7,1,527.0,2010,WD ,Normal,260400
60,12256,Pave,Corner,2Story,1Fam,8,5,1994,1995,PConc,9,2,712.0,2010,WD ,Normal,325000
60,11764,Pave,CulDSac,2Story,1Fam,8,7,1999,2007,PConc,9,1,671.0,2010,WD ,Normal,290000
60,16770,Pave,CulDSac,2Story,1Fam,7,5,1998,1998,PConc,7,0,486.0,2010,WD ,Normal,221000
50,14720,Pave,CulDSac,1.5Fin,1Fam,8,5,1995,1996,PConc,9,1,666.0,2010,WD ,Normal,410000
20,8987,Pave,Inside,1Story,1Fam,8,5,2005,2006,PConc,6,1,880.0,2010,WD ,Normal,221500
20,9215,Pave,Inside,1Story,1Fam,7,5,2009,2010,PConc,4,0,676.0,2010,New,Partial,204500
60,8640,Pave,Inside,2Story,1Fam,7,5,2009,2009,PConc,7,0,614.0,2010,Con,Normal,215200
20,9000,Pave,Inside,1Story,1Fam,8,5,2008,2008,PConc,7,0,750.0,2010,WD ,Normal,262500
60,12552,Pave,Corner,2Story,1Fam,7,5,2004,2005,PConc,8,1,678.0,2010,WD ,Normal,254900
20,10440,Pave,Corner,1Story,1Fam,6,5,2005,2005,PConc,6,1,528.0,2010,WD ,Normal,271500
60,10142,Pave,Inside,2Story,1Fam,7,5,2004,2004,PConc,8,0,618.0,2010,WD ,Normal,233000
60,11920,Pave,Inside,2Story,1Fam,7,5,2004,2004,PConc,8,0,484.0,2010,WD ,Normal,181000
60,8880,Pave,Inside,2Story,1Fam,7,5,1994,2002,PConc,8,2,463.0,2010,WD ,Normal,205000
120,8012,Pave,Inside,1Story,TwnhsE,6,5,1980,1980,CBlock,5,1,264.0,2010,WD ,Normal,143000
60,11218,Pave,Inside,2Story,1Fam,6,5,1992,1992,PConc,8,1,462.0,2010,WD ,Normal,189000
120,7892,Pave,Inside,1Story,TwnhsE,6,5,1979,1979,CBlock,5,1,264.0,2010,WD ,Normal,99500
120,7175,Pave,Inside,1Story,TwnhsE,6,5,1984,1984,CBlock,4,0,264.0,2010,WD ,Normal,125000
60,9453,Pave,CulDSac,2Story,1Fam,7,7,1993,2003,PConc,7,0,457.0,2010,WD ,Normal,194500
20,9672,Pave,Corner,1Story,1Fam,6,5,1984,1985,PConc,6,0,480.0,2010,WD ,Normal,152000
60,8400,Pave,Inside,2Story,1Fam,6,6,1980,1981,CBlock,7,1,476.0,2010,WD ,Normal,171000
30,9800,Pave,Corner,1Story,1Fam,5,5,1920,1950,BrkTil,5,0,429.0,2010,WD ,Normal,67500
90,8930,Pave,Inside,1.5Fin,Duplex,6,5,1978,1978,Slab,8,0,539.0,2010,WD ,Normal,112000
85,11782,Pave,Inside,SFoyer,1Fam,5,7,1961,1995,CBlock,6,0,576.0,2010,WD ,Normal,148000
20,8450,Pave,Inside,1Story,1Fam,5,8,1965,2009,CBlock,5,1,336.0,2010,WD ,Normal,138500
20,9819,Pave,Inside,1Story,1Fam,5,5,1967,1967,CBlock,5,0,280.0,2010,WD ,Normal,122000
20,7500,Pave,Corner,1Story,1Fam,5,5,1963,1963,CBlock,5,0,308.0,2010,WD ,Normal,133000
20,6897,Pave,Corner,1Story,1Fam,5,8,1962,2010,CBlock,6,0,260.0,2010,WD ,Normal,127000
20,15410,Pave,CulDSac,1Story,1Fam,6,6,1974,2002,CBlock,7,2,461.0,2010,WD ,Abnorml,169000
60,10186,Pave,Inside,2Story,1Fam,7,5,1992,1992,PConc,8,1,564.0,2010,WD ,Normal,190000
60,13143,Pave,Inside,2Story,1Fam,8,5,1993,1993,PConc,9,1,762.0,2010,WD ,Normal,362500
60,11134,Pave,Inside,2Story,1Fam,8,5,1992,1993,PConc,7,1,713.0,2010,WD ,Normal,285000
120,4835,Pave,CulDSac,1Story,TwnhsE,7,5,2004,2005,PConc,6,1,506.0,2010,WD ,Normal,260000
160,3515,Pave,Inside,2Story,TwnhsE,7,5,2004,2004,PConc,3,0,588.0,2010,WD ,Normal,190000
160,3215,Pave,Inside,2Story,TwnhsE,7,5,2004,2004,PConc,4,0,480.0,2010,ConLD,Normal,155000
160,3182,Pave,Inside,2Story,TwnhsE,7,5,2004,2005,PConc,4,0,480.0,2010,WD ,Normal,151000
160,2544,Pave,Inside,2Story,Twnhs,7,5,2004,2005,PConc,4,0,480.0,2010,WD ,Normal,149500
160,2544,Pave,Inside,2Story,Twnhs,6,5,2005,2005,PConc,4,0,480.0,2010,WD ,Normal,152000
20,4403,Pave,Inside,1Story,1Fam,7,5,2009,2009,PConc,7,1,484.0,2010,New,Partial,222000
160,2117,Pave,Inside,2Story,Twnhs,6,5,2000,2000,PConc,5,0,440.0,2010,WD ,Normal,177500
160,2980,Pave,Corner,2Story,TwnhsE,6,5,2000,2000,PConc,5,0,440.0,2010,WD ,Normal,177000
160,2572,Pave,FR2,2Story,Twnhs,7,5,1999,1999,PConc,6,0,484.0,2010,WD ,Normal,155000
160,2403,Pave,FR2,2Story,TwnhsE,7,5,2003,2003,PConc,4,0,496.0,2010,WD ,Normal,147110
20,12853,Pave,Inside,1Story,1Fam,8,5,2010,2010,PConc,6,1,852.0,2010,New,Partial,267916
60,7379,Pave,Inside,2Story,1Fam,8,5,2000,2000,PConc,7,1,592.0,2010,WD ,Normal,254000
120,4420,Pave,CulDSac,1Story,TwnhsE,8,5,1980,1980,CBlock,3,1,484.0,2010,WD ,Normal,155000
120,3880,Pave,Inside,1Story,Twnhs,8,6,1978,1978,CBlock,4,1,484.0,2010,WD ,Normal,206000
60,13517,Pave,CulDSac,2Story,1Fam,6,8,1976,2005,CBlock,6,0,475.0,2010,WD ,Normal,130500
20,8000,Pave,Inside,1Story,1Fam,7,5,2002,2002,PConc,6,1,596.0,2010,WD ,Normal,230000
20,10456,Pave,Inside,1Story,1Fam,6,6,1967,1967,CBlock,8,0,535.0,2010,WD ,Normal,218500
60,10791,Pave,Inside,2Story,1Fam,6,5,1993,1993,PConc,9,1,660.0,2010,WD ,Normal,243500
20,10603,Pave,Inside,1Story,1Fam,6,7,1977,2001,PConc,6,2,480.0,2010,WD ,Normal,205000
50,18837,Pave,Inside,1.5Fin,1Fam,6,5,1978,1978,PConc,7,1,678.0,2010,WD ,Normal,212500
60,10421,Pave,Inside,2Story,1Fam,7,5,1988,1988,CBlock,7,1,496.0,2010,WD ,Normal,196500
20,9360,Pave,Inside,1Story,1Fam,6,7,1972,2006,CBlock,5,1,676.0,2010,WD ,Normal,197500
60,9600,Pave,Inside,2Story,1Fam,6,6,1971,1971,CBlock,7,0,441.0,2010,WD ,Normal,171000
20,9600,Pave,Inside,1Story,1Fam,5,5,1966,1966,CBlock,6,0,490.0,2010,WD ,Normal,142250
20,9790,Pave,Inside,1Story,1Fam,6,5,1963,1963,CBlock,6,2,528.0,2010,WD ,Normal,143000
20,9320,Pave,Inside,1Story,1Fam,4,5,1959,1959,CBlock,6,0,0.0,2010,WD ,Normal,128950
20,9900,Pave,Corner,1Story,1Fam,5,5,1966,1966,PConc,6,0,504.0,2010,ConLD,Normal,159000
20,9680,Pave,Inside,1Story,1Fam,5,6,1967,1967,CBlock,6,0,517.0,2010,WD ,Normal,178900
80,10600,Pave,Inside,SLvl,1Fam,6,5,1964,1964,CBlock,8,0,480.0,2010,COD,Family,136300
80,14112,Pave,Corner,SLvl,1Fam,5,7,1964,1964,PConc,6,1,484.0,2010,WD ,Normal,180500
85,8800,Pave,Inside,SFoyer,1Fam,6,7,1963,1963,PConc,6,0,480.0,2010,WD ,Abnorml,137500
90,13260,Pave,Inside,1Story,Duplex,5,6,1962,2001,CBlock,10,0,0.0,2010,Oth,Abnorml,84900
20,9717,Pave,Inside,1Story,1Fam,5,6,1950,1996,CBlock,5,0,240.0,2010,WD ,Normal,142125
50,9724,Pave,Inside,1.5Fin,1Fam,5,7,1952,2002,CBlock,7,2,400.0,2010,WD ,Normal,197600
50,17360,Pave,Corner,1.5Fin,1Fam,6,6,1949,1950,CBlock,6,1,470.0,2010,WD ,Normal,172500
20,7207,Pave,Inside,1Story,1Fam,5,7,1958,2008,CBlock,4,0,0.0,2010,WD ,Normal,116500
30,5350,Pave,Inside,1Story,1Fam,3,2,1940,1966,CBlock,6,0,0.0,2010,WD ,Normal,76500
20,9920,Pave,Inside,1Story,1Fam,5,5,1954,1954,CBlock,6,0,280.0,2010,WD ,Normal,128000
80,9600,Pave,Inside,SLvl,1Fam,6,6,1955,1972,CBlock,7,2,364.0,2010,WD ,Normal,153000
20,7800,Pave,Inside,1Story,1Fam,5,6,1954,1954,PConc,7,1,244.0,2010,WD ,Normal,132000
85,11380,Pave,Inside,SFoyer,1Fam,6,8,1966,2008,CBlock,5,1,315.0,2010,WD ,Normal,178000
90,11600,Pave,Corner,2Story,Duplex,5,5,1960,1960,CBlock,12,0,480.0,2010,WD ,Normal,154300
20,19900,Pave,Inside,1Story,1Fam,7,5,1970,1989,CBlock,7,1,576.0,2010,WD ,Normal,180000
20,16492,Pave,Corner,1Story,1Fam,6,6,1966,2002,CBlock,6,1,578.0,2010,WD ,Normal,190000
90,8267,Pave,Corner,1Story,Duplex,5,5,1958,1958,CBlock,8,0,576.0,2010,WD ,Normal,135000
20,8197,Pave,Inside,1Story,1Fam,7,5,2003,2009,PConc,7,0,620.0,2010,WD ,Normal,214000
20,8050,Pave,Inside,1Story,1Fam,5,5,1959,1959,CBlock,6,0,308.0,2010,WD ,Normal,136000
20,10552,Pave,Inside,1Story,1Fam,5,5,1959,1959,CBlock,6,1,447.0,2010,WD ,Normal,165500
20,8400,Pave,Inside,1Story,1Fam,5,6,1957,1957,CBlock,5,0,294.0,2010,WD ,Normal,145000
20,8760,Pave,Inside,1Story,1Fam,6,6,1959,1959,CBlock,6,0,312.0,2010,WD ,Normal,148000
20,12160,Pave,Inside,1Story,1Fam,5,5,1959,1959,CBlock,6,0,531.0,2010,COD,Abnorml,142000
20,9300,Pave,Inside,1Story,1Fam,5,5,1960,1960,CBlock,6,2,461.0,2010,WD ,Normal,167500
20,10725,Pave,Inside,1Story,1Fam,5,5,1959,1959,CBlock,6,0,312.0,2010,WD ,Normal,108538
20,10032,Pave,Inside,1Story,1Fam,6,5,1959,1959,CBlock,6,2,440.0,2010,WD ,Normal,159500
50,8382,Pave,Inside,1.5Fin,1Fam,4,5,1956,1956,CBlock,5,0,263.0,2010,WD ,Normal,108000
20,10950,Pave,Inside,1Story,1Fam,5,7,1952,1952,CBlock,4,0,318.0,2010,WD ,Normal,135000
20,10895,Pave,Corner,1Story,1Fam,5,6,1955,1955,CBlock,5,0,305.0,2010,WD ,Normal,122500
190,13587,Pave,Inside,1Story,2fmCon,5,5,1958,1958,CBlock,5,0,264.0,2010,WD ,Abnorml,119000
20,7922,Pave,Inside,1Story,1Fam,5,7,1953,2007,CBlock,5,0,246.0,2010,WD ,Abnorml,109000
30,7898,Pave,Corner,1Story,1Fam,4,7,1920,1994,BrkTil,4,0,676.0,2010,WD ,Normal,105000
20,7200,Pave,Inside,1Story,1Fam,5,7,1955,2007,Slab,5,1,392.0,2010,WD ,Normal,107500
20,10200,Pave,Inside,1Story,1Fam,5,7,1954,2003,CBlock,6,0,490.0,2010,WD ,Normal,144900
20,5868,Pave,Inside,1Story,1Fam,5,7,1956,2000,CBlock,4,0,308.0,2010,WD ,Normal,129000
50,17503,Pave,Inside,1.5Fin,1Fam,6,5,1948,1950,CBlock,6,1,330.0,2010,WD ,Abnorml,97500
90,6979,Pave,Inside,SFoyer,Duplex,6,5,1980,1980,CBlock,4,0,576.0,2010,WD ,Normal,144000
20,9830,Pave,Corner,1Story,1Fam,5,7,1959,2006,CBlock,7,1,576.0,2010,WD ,Normal,162000
80,11275,Pave,Corner,SLvl,1Fam,7,7,1967,2007,CBlock,11,1,564.0,2010,WD ,Normal,242000
50,8064,Pave,Inside,1.5Fin,1Fam,6,8,1948,2004,CBlock,5,0,280.0,2010,WD ,Normal,132000
20,7500,Pave,Inside,1Story,1Fam,5,7,1959,1994,CBlock,6,0,305.0,2010,WD ,Normal,154000
50,8520,Pave,Corner,1.5Fin,1Fam,5,4,1952,1952,CBlock,6,0,720.0,2010,WD ,Normal,166000
20,7200,Pave,Corner,1Story,1Fam,5,7,1951,2000,CBlock,5,0,576.0,2010,WD ,Normal,134800
20,10000,Pave,Corner,1Story,1Fam,6,6,1962,1962,CBlock,5,0,440.0,2010,WD ,Normal,160000
20,7635,Pave,Corner,1Story,1Fam,5,6,1960,1960,CBlock,6,0,484.0,2010,WD ,Normal,148000
20,9760,Pave,Inside,1Story,1Fam,6,7,1963,1984,CBlock,7,1,440.0,2010,WD ,Normal,192000
60,7700,Pave,Inside,2Story,1Fam,6,5,1966,1966,CBlock,7,1,442.0,2010,WD ,Normal,155000
50,4800,Pave,Corner,1.5Fin,1Fam,4,5,1900,1954,PConc,9,2,240.0,2010,COD,Abnorml,80400
50,8800,Pave,Corner,1.5Fin,1Fam,4,7,1910,2004,BrkTil,7,0,0.0,2010,WD ,Normal,96500
30,4485,Pave,Inside,1Story,1Fam,5,7,1920,1950,PConc,5,1,0.0,2010,WD ,Normal,109500
30,8960,Pave,Inside,1Story,1Fam,5,6,1927,1950,CBlock,5,1,360.0,2010,WD ,Normal,115000
20,5805,Pave,Inside,1Story,1Fam,5,7,1957,1957,CBlock,6,0,551.0,2010,WD ,Normal,143000
50,5790,Pave,Corner,2Story,1Fam,3,6,1915,1950,CBlock,8,0,379.0,2010,WD ,Normal,107400
30,4608,Pave,Corner,1Story,1Fam,4,6,1945,1950,CBlock,4,0,220.0,2010,WD ,Normal,80000
30,7200,Pave,Corner,1Story,1Fam,5,7,1940,1992,CBlock,4,2,240.0,2010,WD ,Abnorml,119000
50,5500,Pave,Corner,1.5Fin,1Fam,5,7,1929,2001,BrkTil,6,0,484.0,2010,WD ,Normal,130000
45,6900,Pave,Corner,1.5Fin,1Fam,6,7,1938,2000,PConc,6,0,240.0,2010,WD ,Normal,119000
50,11851,Pave,Inside,1.5Fin,1Fam,5,7,1948,2009,BrkTil,7,1,240.0,2010,WD ,Normal,129000
50,8239,Pave,Inside,1.5Fin,1Fam,5,6,1920,1962,BrkTil,6,0,315.0,2010,WD ,Normal,100000
30,9656,Pave,Inside,1Story,1Fam,2,2,1923,1970,BrkTil,5,1,780.0,2010,WD ,Abnorml,12789
30,8520,Pave,Inside,1Story,1Fam,6,8,1928,2003,BrkTil,5,0,484.0,2010,WD ,Normal,105900
70,9600,Pave,Corner,2Story,1Fam,8,9,1900,2003,BrkTil,7,0,288.0,2010,WD ,Abnorml,150000
50,10800,Pave,Inside,1.5Fin,1Fam,5,6,1915,1950,PConc,7,0,416.0,2010,WD ,Normal,139000
70,9000,Pave,Inside,2Story,1Fam,8,9,1890,2002,Stone,7,0,624.0,2010,WD ,Normal,240000
190,9045,Pave,Inside,2Story,2fmCon,5,3,1910,1950,BrkTil,12,0,0.0,2010,WD ,Abnorml,76500
20,7407,Pave,Inside,1Story,1Fam,6,7,1957,1996,CBlock,6,0,923.0,2010,WD ,Normal,149700
70,7740,Pave,Inside,2Story,1Fam,4,7,1910,1950,CBlock,6,0,528.0,2010,WD ,Normal,125500
190,11340,Pave,Inside,2Story,2fmCon,4,6,1885,1950,PConc,11,0,560.0,2010,WD ,Normal,122500
70,10560,Pave,Inside,2Story,1Fam,6,7,1922,1994,CBlock,6,0,624.0,2010,WD ,Normal,140750
50,5830,Pave,Corner,1.5Fin,1Fam,5,6,1950,1997,CBlock,7,0,363.0,2010,WD ,Normal,128500
75,7793,Pave,Corner,2.5Unf,1Fam,7,7,1922,2005,BrkTil,8,1,315.0,2010,WD ,Normal,209500
30,5000,Pave,Inside,1Story,1Fam,4,7,1925,1950,BrkTil,4,0,200.0,2010,WD ,Normal,87000
50,6000,Pave,Inside,1.5Fin,1Fam,6,7,1939,1950,BrkTil,5,0,240.0,2010,WD ,Abnorml,134000
50,6000,Pave,Inside,1.5Fin,1Fam,6,6,1940,1950,CBlock,6,2,576.0,2010,WD ,Normal,128000
50,6360,Pave,Corner,1.5Fin,1Fam,5,6,1942,1950,CBlock,7,2,240.0,2010,WD ,Normal,132000
50,6000,Pave,Inside,1.5Fin,1Fam,6,7,1948,1950,CBlock,6,0,312.0,2010,WD ,Normal,139900
50,6240,Pave,Inside,1.5Fin,1Fam,5,7,1936,1980,CBlock,5,0,624.0,2010,WD ,Normal,123900
50,6240,Pave,Inside,1.5Fin,1Fam,5,5,1930,1950,BrkTil,7,1,480.0,2010,WD ,Normal,138400
30,6120,Pave,Inside,1Story,1Fam,6,5,1923,1950,BrkTil,5,1,288.0,2010,WD ,Normal,109500
70,10300,Pave,Inside,2Story,1Fam,7,6,1921,1950,BrkTil,9,0,480.0,2010,WD ,Normal,140000
50,8094,Pave,Inside,1.5Fin,1Fam,4,5,1915,1950,CBlock,9,1,572.0,2010,WD ,Normal,149500
70,12900,Pave,Inside,2Story,1Fam,6,8,1912,2009,PConc,7,0,0.0,2010,WD ,Normal,159900
70,3068,Pave,Inside,2Story,1Fam,6,8,1920,1993,BrkTil,6,0,180.0,2010,WD ,Normal,122000
90,8472,Grvl,Corner,1Story,Duplex,5,5,1963,1963,CBlock,5,0,516.0,2010,WD ,Normal,110000
190,5600,Pave,Inside,2Story,2fmCon,4,5,1930,1950,Slab,7,0,0.0,2010,WD ,Normal,55000
190,7630,Pave,Inside,2Story,2fmCon,5,9,1900,1996,BrkTil,8,1,672.0,2010,WD ,Normal,140000
70,24090,Pave,Inside,2Story,1Fam,7,7,1940,1950,CBlock,10,2,349.0,2010,COD,Normal,244400
20,15263,Pave,Inside,1Story,1Fam,5,5,1959,1959,CBlock,8,2,365.0,2010,WD ,Normal,173000
50,10632,Pave,Inside,1.5Fin,1Fam,5,3,1917,1950,BrkTil,6,0,180.0,2010,COD,Normal,107500
190,9900,Pave,Inside,1.5Fin,2fmCon,5,4,1915,1950,BrkTil,6,0,0.0,2010,ConLD,Normal,100000
50,6001,Pave,Inside,1.5Fin,1Fam,6,5,1940,1950,CBlock,5,0,231.0,2010,WD ,Normal,95000
70,6449,Pave,Inside,2Story,1Fam,4,1,1907,1950,CBlock,7,0,0.0,2010,WD ,Abnorml,93369
190,6048,Pave,Corner,1.5Fin,2fmCon,5,7,1910,1950,BrkTil,7,1,450.0,2010,COD,Normal,114900
50,6342,Pave,Inside,1.5Fin,1Fam,5,8,1875,1996,CBlock,6,0,0.0,2010,WD ,Normal,94000
90,10773,Pave,Inside,1Story,Duplex,4,3,1967,1967,CBlock,8,0,0.0,2010,WD ,Normal,136000
90,10778,Pave,Inside,1Story,Duplex,4,5,1968,1968,CBlock,8,0,0.0,2010,WD ,Normal,136500
190,11625,Pave,Inside,1Story,2fmCon,5,4,1965,1965,PConc,6,0,504.0,2010,WD ,Normal,131500
20,11341,Pave,Inside,1Story,1Fam,5,6,1957,1996,CBlock,5,1,528.0,2010,WD ,Normal,121500
20,8521,Pave,FR2,1Story,1Fam,5,5,1967,1967,CBlock,5,1,336.0,2010,WD ,Normal,125000
20,8246,Pave,Inside,1Story,1Fam,5,8,1968,2001,CBlock,6,1,270.0,2010,WD ,Normal,154000
20,7800,Pave,Inside,1Story,1Fam,5,7,1966,2008,CBlock,5,0,416.0,2010,WD ,Normal,137900
60,9364,Pave,Corner,2Story,1Fam,6,7,1969,1969,CBlock,7,0,299.0,2010,WD ,Normal,158000
20,7832,Pave,Inside,1Story,1Fam,5,5,1968,1968,CBlock,4,0,280.0,2010,WD ,Normal,137250
90,7424,Pave,Inside,SFoyer,Duplex,5,5,1978,1978,CBlock,5,2,591.0,2010,WD ,Normal,160250
60,11227,Pave,Inside,2Story,1Fam,5,5,1968,1968,CBlock,7,2,480.0,2010,WD ,Normal,163000
60,11616,Pave,CulDSac,2Story,1Fam,6,5,1978,1978,CBlock,6,1,440.0,2010,WD ,Abnorml,158900
60,14000,Pave,Inside,2Story,1Fam,7,5,1996,1997,PConc,7,0,533.0,2010,WD ,Normal,328000
20,20062,Pave,Inside,1Story,1Fam,7,7,1977,2001,CBlock,4,2,690.0,2010,WD ,Normal,270000
30,9259,Pave,Corner,1Story,1Fam,4,4,1927,1950,BrkTil,4,0,440.0,2010,WD ,Normal,85000
